Save: 1, Episode: 703/20000, Best Score: 1790.1572373577346, Play_time: 219, Spawn distance: 141.4213562373095
Save: 2, Episode: 705/20000, Best Score: 3900.73235390614, Play_time: 157, Spawn distance: 141.4213562373095
Save: 3, Episode: 708/20000, Best Score: 3969.4276239323362, Play_time: 215, Spawn distance: 141.4213562373095
Save: 4, Episode: 709/20000, Best Score: 4031.6608030434436, Play_time: 141, Spawn distance: 141.4213562373095
Save: 5, Episode: 796/20000, Best Score: 4091.8822644408397, Play_time: 453, Spawn distance: 141.4213562373095
Save: 6, Episode: 797/20000, Best Score: 5619.729435113507, Play_time: 453, Spawn distance: 141.4213562373095
Save: 7, Episode: 798/20000, Best Score: 5620.196426851314, Play_time: 453, Spawn distance: 141.4213562373095
Save: 8, Episode: 799/20000, Best Score: 5621.521730245011, Play_time: 453, Spawn distance: 141.4213562373095
Save: 9, Episode: 806/20000, Best Score: 10086.591108760937, Play_time: 453, Spawn distance: 141.4213562373095
Save: 10, Episode: 807/20000, Best Score: 17021.410473188032, Play_time: 453, Spawn distance: 141.4213562373095
Save: 11, Episode: 808/20000, Best Score: 17370.972102794443, Play_time: 209, Spawn distance: 141.4213562373095
Save: 12, Episode: 809/20000, Best Score: 17692.48770393638, Play_time: 453, Spawn distance: 141.4213562373095
Save: 13, Episode: 810/20000, Best Score: 20647.344530552917, Play_time: 453, Spawn distance: 141.4213562373095
Save: 14, Episode: 870/20000, Best Score: 21217.605400329907, Play_time: 388, Spawn distance: 141.4213562373095
Save: 15, Episode: 871/20000, Best Score: 22187.841637251728, Play_time: 453, Spawn distance: 141.4213562373095
Save: 16, Episode: 872/20000, Best Score: 23375.84943890305, Play_time: 453, Spawn distance: 141.4213562373095
Save: 17, Episode: 873/20000, Best Score: 24320.90116594156, Play_time: 453, Spawn distance: 141.4213562373095
Save: 18, Episode: 874/20000, Best Score: 25636.891151544216, Play_time: 453, Spawn distance: 141.4213562373095
Save: 19, Episode: 875/20000, Best Score: 26691.16311826199, Play_time: 382, Spawn distance: 141.4213562373095
Save: 20, Episode: 876/20000, Best Score: 27018.920023989747, Play_time: 453, Spawn distance: 141.4213562373095
Save: 21, Episode: 877/20000, Best Score: 27242.719094887478, Play_time: 453, Spawn distance: 141.4213562373095
Save: 22, Episode: 879/20000, Best Score: 28505.58420042004, Play_time: 453, Spawn distance: 141.4213562373095
Save: 23, Episode: 880/20000, Best Score: 29896.510922257807, Play_time: 453, Spawn distance: 141.4213562373095
Save: 24, Episode: 881/20000, Best Score: 29914.520901395463, Play_time: 453, Spawn distance: 141.4213562373095
Save: 25, Episode: 884/20000, Best Score: 29927.848635530238, Play_time: 364, Spawn distance: 141.4213562373095
Save: 26, Episode: 885/20000, Best Score: 30334.906489715013, Play_time: 317, Spawn distance: 141.4213562373095
Save: 27, Episode: 888/20000, Best Score: 30728.396923865574, Play_time: 453, Spawn distance: 141.4213562373095
Save: 28, Episode: 889/20000, Best Score: 31868.09694257168, Play_time: 453, Spawn distance: 141.4213562373095
Save: 29, Episode: 890/20000, Best Score: 32723.188398310765, Play_time: 453, Spawn distance: 141.4213562373095
Save: 30, Episode: 891/20000, Best Score: 33014.52980771286, Play_time: 453, Spawn distance: 141.4213562373095
Save: 31, Episode: 892/20000, Best Score: 34478.216102174396, Play_time: 453, Spawn distance: 141.4213562373095
Save: 32, Episode: 893/20000, Best Score: 35876.7671100657, Play_time: 453, Spawn distance: 141.4213562373095
Save: 33, Episode: 894/20000, Best Score: 37132.66544135046, Play_time: 453, Spawn distance: 141.4213562373095
Save: 34, Episode: 895/20000, Best Score: 38374.15000319701, Play_time: 453, Spawn distance: 141.4213562373095
Save: 35, Episode: 896/20000, Best Score: 38422.11967213134, Play_time: 453, Spawn distance: 141.4213562373095
Save: 36, Episode: 898/20000, Best Score: 38801.27637848384, Play_time: 453, Spawn distance: 141.4213562373095
Save: 37, Episode: 899/20000, Best Score: 40287.19339686644, Play_time: 453, Spawn distance: 141.4213562373095
Save: 38, Episode: 900/20000, Best Score: 41734.7375080081, Play_time: 453, Spawn distance: 141.4213562373095
Save: 39, Episode: 901/20000, Best Score: 77121.16075310632, Play_time: 453, Spawn distance: 141.4213562373095
Save: 40, Episode: 1001/20000, Best Score: 78333.29533885026, Play_time: 453, Spawn distance: 141.4213562373095
Save: 41, Episode: 1002/20000, Best Score: 79167.56686691524, Play_time: 453, Spawn distance: 141.4213562373095
Save: 42, Episode: 1004/20000, Best Score: 79234.25604532953, Play_time: 453, Spawn distance: 141.4213562373095
Save: 43, Episode: 1005/20000, Best Score: 79828.36224024334, Play_time: 453, Spawn distance: 141.4213562373095
Save: 1, Episode: 701/20000, Best Score: 7553.90905312661, Play_time: 75, Spawn distance: 127.27922061357856
Save: 2, Episode: 710/20000, Best Score: 7563.705606255561, Play_time: 152, Spawn distance: 127.27922061357856
Save: 3, Episode: 711/20000, Best Score: 14331.2126005276, Play_time: 453, Spawn distance: 127.27922061357856
Save: 4, Episode: 713/20000, Best Score: 18988.707462611215, Play_time: 453, Spawn distance: 127.27922061357856
Save: 5, Episode: 714/20000, Best Score: 23632.664609517593, Play_time: 453, Spawn distance: 127.27922061357856
Save: 6, Episode: 715/20000, Best Score: 27550.868856668192, Play_time: 453, Spawn distance: 127.27922061357856
Save: 7, Episode: 716/20000, Best Score: 28365.950272680842, Play_time: 236, Spawn distance: 127.27922061357856
Save: 8, Episode: 717/20000, Best Score: 31575.98165057373, Play_time: 453, Spawn distance: 127.27922061357856
Save: 9, Episode: 718/20000, Best Score: 34420.56769806169, Play_time: 447, Spawn distance: 127.27922061357856
Save: 10, Episode: 719/20000, Best Score: 36948.29989358281, Play_time: 453, Spawn distance: 127.27922061357856
Save: 11, Episode: 720/20000, Best Score: 38569.395854821065, Play_time: 383, Spawn distance: 127.27922061357856
Save: 12, Episode: 721/20000, Best Score: 40732.95083087905, Play_time: 453, Spawn distance: 127.27922061357856
Save: 13, Episode: 722/20000, Best Score: 42708.900000095, Play_time: 453, Spawn distance: 127.27922061357856
Save: 14, Episode: 723/20000, Best Score: 44521.71528641598, Play_time: 453, Spawn distance: 127.27922061357856
Save: 15, Episode: 724/20000, Best Score: 46175.13796138597, Play_time: 453, Spawn distance: 127.27922061357856
Save: 16, Episode: 725/20000, Best Score: 47662.58064562474, Play_time: 453, Spawn distance: 127.27922061357856
Save: 17, Episode: 727/20000, Best Score: 48932.1556088037, Play_time: 453, Spawn distance: 127.27922061357856
Save: 18, Episode: 728/20000, Best Score: 50163.316219399814, Play_time: 453, Spawn distance: 127.27922061357856
Save: 19, Episode: 737/20000, Best Score: 50230.66594862908, Play_time: 453, Spawn distance: 127.27922061357856
Save: 20, Episode: 738/20000, Best Score: 51114.11980772807, Play_time: 453, Spawn distance: 127.27922061357856
Save: 21, Episode: 739/20000, Best Score: 51918.65552626773, Play_time: 453, Spawn distance: 127.27922061357856
Save: 22, Episode: 740/20000, Best Score: 52680.302256074596, Play_time: 453, Spawn distance: 127.27922061357856
Save: 23, Episode: 741/20000, Best Score: 53387.011567013906, Play_time: 453, Spawn distance: 127.27922061357856
Save: 24, Episode: 742/20000, Best Score: 54087.44672456033, Play_time: 453, Spawn distance: 127.27922061357856
Save: 25, Episode: 743/20000, Best Score: 54741.364478598574, Play_time: 453, Spawn distance: 127.27922061357856
Save: 26, Episode: 744/20000, Best Score: 55383.721897147916, Play_time: 453, Spawn distance: 127.27922061357856
Save: 27, Episode: 745/20000, Best Score: 55966.45311338266, Play_time: 453, Spawn distance: 127.27922061357856
Save: 28, Episode: 746/20000, Best Score: 56554.248813837716, Play_time: 453, Spawn distance: 127.27922061357856
Save: 29, Episode: 747/20000, Best Score: 57133.25562447158, Play_time: 453, Spawn distance: 127.27922061357856
Save: 30, Episode: 748/20000, Best Score: 57659.76450857022, Play_time: 453, Spawn distance: 127.27922061357856
Save: 31, Episode: 749/20000, Best Score: 58201.48187033218, Play_time: 453, Spawn distance: 127.27922061357856
Save: 32, Episode: 750/20000, Best Score: 58713.535479252416, Play_time: 453, Spawn distance: 127.27922061357856
Save: 33, Episode: 751/20000, Best Score: 60246.534783225594, Play_time: 453, Spawn distance: 127.27922061357856
Save: 34, Episode: 752/20000, Best Score: 61729.784680964454, Play_time: 453, Spawn distance: 127.27922061357856
Save: 35, Episode: 753/20000, Best Score: 63177.1340406203, Play_time: 453, Spawn distance: 127.27922061357856
Save: 36, Episode: 754/20000, Best Score: 64745.01212187769, Play_time: 453, Spawn distance: 127.27922061357856
Save: 37, Episode: 755/20000, Best Score: 66219.24097157178, Play_time: 453, Spawn distance: 127.27922061357856
Save: 38, Episode: 756/20000, Best Score: 67735.15116579807, Play_time: 453, Spawn distance: 127.27922061357856
Save: 39, Episode: 757/20000, Best Score: 69235.05632504617, Play_time: 453, Spawn distance: 127.27922061357856
Save: 40, Episode: 758/20000, Best Score: 70807.04757751165, Play_time: 453, Spawn distance: 127.27922061357856
Save: 41, Episode: 759/20000, Best Score: 72214.30237738379, Play_time: 453, Spawn distance: 127.27922061357856
